"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Bahamas, The","BHS","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33062.5459044975","31139.8506228369","29404.3305021882","28946.934061205","29337.8298239309","30119.4356257911","30898.8362446941","30830.0602346","31827.2719668637","33648.0206403687","34587.1051052633","35062.1707533404","35600.3270153467","34730.6648009369","34607.7421037921","35355.1860512693","35778.7287115087","35786.7131487301","34488.0069457595","32620.7778123372","32701.9503894723","32526.2047595974","33167.6065247753","31921.7118444477","32226.9236150679","32290.6997350712","31756.8406185759","32442.7229938499","33106.6940523959","32495.3338730491","25457.0803884989","29340.4723479708","32408.7118597651","33105.603858971"
"Bosnia and Herzegovina","BIH","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2447.23811711016","2213.6474484246","2180.58221471538","2313.36811883994","2694.46692799185","3133.0095204606","4632.01105225312","6104.01842892788","6994.47173162231","7584.50736870635","7938.52236558824","8092.63641167112","8482.10867863667","8830.10940274655","9473.74068140082","9949.85826990087","10574.2974822365","11332.6760998709","12149.033142978","11989.796517586","12310.3704034387","12659.9139891127","12801.1126623157","13316.9222640778","13644.5153488436","14420.4869034482","15083.2477524993","15773.8629255574","16579.1578707262","17269.2827010854","16983.042804253","18544.0759332651","19569.7689544508","20126.3804029322"
"Belarus","BLR","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12351.635710338","12197.7878026309","11002.6017504808","10143.9840138797","8967.73073413132","8061.1960315697","8314.85656198191","9301.32717453853","10128.1560437714","10519.748915045","11182.4548435585","11771.0872103845","12443.932258963","13413.9265577357","15052.1182037571","16579.8731658252","18349.8719017491","20019.6111631326","22137.9472851246","22236.8387652895","24012.6132979938","25404.7566034489","25879.1319443906","26147.6253573925","26564.4347191137","25513.2132931209","24846.8301529772","25503.9809859339","26363.4629821252","26798.8206427959","26731.4953813506","27611.1801135156","26537.5083074865","27718.3231175409"
"Belize","BLZ","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8243.73265496349","9019.60575532108","9957.97110281732","10356.6709076744","10136.4465752972","9958.20429148513","9773.26139796062","9852.85726749046","9884.91662320291","10450.5526385183","11352.7191202799","11555.9072108358","11816.5976090456","12577.0971520133","12794.8058593089","12702.741981785","12900.1113839766","12962.4668939683","12398.5125618524","12024.1964682061","11868.4382399083","11584.2851607068","11761.5639088012","12026.0711025081","12249.2214195699","12339.4807382581","12062.7981699713","11574.452447147","11486.8029426009","11803.0879992669","10032.544497569","11677.4610095172","12569.8179433088","12455.2960650024"
"Bermuda","BMU","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79109.890649762","75754.4942593697","75160.9321663261","76883.8137964547","76850.9122386413","79784.2140103662","81466.1999168087","84698.2035695053","87330.9630610137","89568.6772949348","97236.2489313222","103724.861799997","101739.790228562","104798.346289682","106941.298273495","108461.234809082","114250.093078247","117742.118949933","115015.749468771","108091.644563183","105121.639688862","101174.504103747","95937.8559207527","95777.8589383651","92298.3878105064","93109.4546037139","92519.4007720085","95666.1631169636","94874.5782443817","94755.4328108431","87894.4011744071","92276.2346046359","98057.4470976206","98041.688720843"
"Bolivia","BOL","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5124.48798003521","5283.11825383097","5261.66167660444","5378.54409619278","5521.66025324681","5671.82158147782","5810.67445599166","5989.41431819454","6180.54968783297","6099.51152094395","6146.02929250873","6144.97829336289","6193.26347365023","6255.5155813074","6407.83811661308","6579.31228729913","6778.38492393241","6967.56987897155","7272.16624073984","7392.16259133447","7571.67809088388","7837.49318637041","8108.20518658277","8524.03213224208","8851.71163169903","9141.92841760819","9390.79064490474","9642.81396069058","9907.0625569677","9985.23048827288","9000.97564781423","9454.19814726348","9681.70742674425","9843.97014174079"
"Brazil","BRA","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12633.288457041","12546.5605015305","12271.9788488259","12669.428721959","13202.9308022136","13550.4393746368","13641.6296006557","13896.6249911865","13737.7026444226","13602.4137078439","14005.347188511","14016.1313783123","14265.9048781372","14259.3664100397","14911.2609620174","15221.0138293364","15657.4795729144","16440.5837413089","17113.3679835935","16939.4407823485","18062.1581117688","18627.8104543865","18832.2195541702","19241.5059830671","19183.172746126","18357.0690632249","17620.9272447823","17724.4799591551","17917.7492137276","18018.6209165513","17327.5157262925","18075.7060063108","18554.0461842977","19018.2390697496"
"Barbados","BRB","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16976.7616479779","16264.9294890215","15286.3563896023","15362.7272249424","15636.1161882929","15925.5215850408","16543.3287120393","17320.3674613209","17963.1390792697","18017.6925983971","18851.5756916067","18380.2588935019","18404.1494852828","18689.3418508377","18845.2406825102","19488.0025668841","20571.8104442863","20899.9910667503","20922.4076922749","19770.5266589765","19253.4088733958","19050.5673740077","18936.0888111766","18695.6832903666","18665.1769798481","18464.6630889427","18754.6651416375","18740.3488338921","18484.6976381599","18572.509535997","15749.0380167909","15683.8847128096","18469.5765888638","19224.4621182944"
"Brunei Darussalam","BRN","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","118163.683197804","118220.683618951","111457.220909813","107899.136176771","106239.232213533","105043.852684028","102522.125235775","106503.420292059","97171.6371135151","99083.3206556618","100323.440021864","99680.7624772261","101571.583792615","103226.914281632","101497.754704576","99795.6851205821","102248.510372603","96752.6202630515","91275.5001404953","87875.8282313568","88586.5131929201","90279.6633402819","89718.4636612666","86606.6517156585","83310.6150641982","81910.1883952688","78880.6229079102","78966.8642961288","78099.0507722008","80228.159656274","80280.8979480569","78248.7971101454","76357.8291017772","76828.3998314969"
"Bhutan","BTN","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3411.38375844855","3338.00942057218","3624.59781548339","3850.55128929258","4042.49417838263","4379.87046581859","4616.91979149618","4778.70511827039","4965.87646101169","5241.36663500719","5287.57434451931","5545.63055320068","5991.25496849954","6323.54119493941","6517.99682620022","6850.80440897429","7140.85609157052","8195.07074448444","8470.03470902473","9019.1186065228","9985.28455357031","10714.6865627638","11143.94452973","11212.4794211376","11744.5189049643","12400.2983217758","13320.9758970472","13482.3425253264","13854.8543922424","14555.1883979698","12979.9369446336","13458.8126642925","14061.3120213689",""
"Botswana","BWA","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10520.9402101702","11001.8241681256","11008.7038449944","10902.9738818681","10989.6928392675","11457.7231907436","11832.9633106934","12526.3782064571","12306.2759909746","13207.4747286459","13185.8444887173","12949.6671581051","13479.7240185617","13857.2875558192","13984.8705051183","14361.9874084803","15275.6145509753","15850.2672108739","16040.348578943","13489.9788846597","14545.3782963808","15237.1114248701","14957.9977222551","16369.8276164059","17052.2296573784","15994.99746552","16905.6237901209","17352.9293381836","17824.9505251476","18106.0168508915","16289.4202155885","17961.3576218457","18648.1355964132","18846.2504612042"
"Central African Republic","CAF","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1481.25255094258","1427.69018313539","1294.20254725767","1257.8284033824","1278.91509145063","1334.10322981784","1247.9687525828","1278.48826062781","1302.75142830782","1313.23570902088","1245.81399563599","1272.85710758505","1290.38314917126","1191.8731520062","1236.28534712166","1219.5939445674","1251.87082171335","1284.55283590666","1283.2728263106","1402.68164770801","1479.41367757692","1517.14839091011","1577.98053252253","996.896355923912","1001.85598053496","1043.92171697157","1073.94477703739","1103.86609318724","1125.70091748228","1145.09563657752","1136.57052993758","1128.55237996459","1137.34726560057","1135.13627681714"
"Canada","CAN","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39863.0660385958","38547.4652657194","38433.0912733363","39023.3258286354","40332.8762087397","40988.3989180628","41247.253308077","42587.366207601","43879.5681195652","45761.9298921855","47667.4330856329","48036.6266178082","48943.5412414992","49381.5950355437","50436.294842704","51564.8455651212","52391.3792619498","52948.8994271698","52899.4754504882","50772.8699217538","51763.6758102969","52869.3878559359","53217.7135831819","53884.8455875649","54880.8582018562","54819.1890353874","54765.3037720868","55756.2624817832","56470.4592673931","56713.0888767094","53274.9109302286","55781.6990272912","56872.6053482353","55918.9297008845"
"Switzerland","CHE","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64588.9540954169","63202.5587059156","62482.2270918315","61837.7714274059","62125.7415213421","62008.7272250639","62026.4249119554","63276.4330085687","65000.263164185","65766.6201250798","67987.0046680939","68622.6489324221","68055.6334150035","67530.6977410514","68880.0502599963","70322.1137674308","72728.9237361536","74904.8436936429","76035.8699755876","73366.586005228","74961.3101182379","75476.5490894835","75560.0235898239","76034.8130644133","76877.8061663728","77257.6823334422","77999.457811489","78328.089934291","79977.3072306586","80315.6830344552","78023.3462830438","81603.2073073193","83007.2788940283","82557.5501926632"
"Chile","CHL","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11064.2547708945","11731.0460477104","12832.4245383412","13466.7770185608","13932.7744845356","14956.8583472543","15750.2988448228","16689.7984496466","17163.031501594","16902.0919711481","17531.4614338831","17876.6123997273","18246.6437718691","18909.5471318716","19969.0339024437","20925.9157376936","21976.2965482671","22886.9639787709","23518.0850535088","23021.7098990252","24125.2872121915","25375.2280736315","26679.9168201347","27300.9966184299","27514.7639921551","27821.1971454022","27968.6031718199","27902.8461433239","28502.7243966545","28228.5008207741","26257.832306452","29105.1012040566","29557.3932366841","29462.6404846227"
"China","CHN","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1645.57894422689","1773.63941146097","2001.25427432785","2253.05201995372","2518.15488829059","2763.79976168459","3006.36270788632","3250.61457325231","3472.17856130428","3705.97720676034","3989.06189555851","4290.30208092921","4650.89682139111","5085.97783096768","5567.19061247801","6165.18344017524","6910.75785854773","7853.09639538115","8566.96485435217","9325.65077925533","10267.8056684447","11187.1660995211","11985.3171249131","12830.3699705085","13696.5174948492","14575.9347897624","15485.2130054608","16461.069929896","17490.1667301804","18465.298945245","18833.7847033116","20406.7296584605","21011.6171309077","22137.5998277466"
"Cote d'Ivoire","CIV","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5255.50962638401","5052.85167051386","4843.29349256353","4645.46750871805","4502.45953404415","4638.75732482502","4807.42428178026","5072.59703802667","5093.13169438529","4987.35708530265","4838.34023729938","4609.14469395303","4368.92808837279","4060.00038038427","4088.94517328472","4032.24588029846","4049.26032962496","3999.69095682208","4096.72346918931","4151.05360874982","4338.65248394142","4017.40782040208","4234.18055593319","4597.18635239866","4907.57450294516","5110.86240809881","5320.84646239855","5556.11366322898","5670.20005356688","5894.87874674153","5787.81533309018","6045.20480490879","6261.53314478398","6485.31584901747"
"Cameroon","CMR","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4517.61887779618","4220.65297387084","3974.27759501196","3556.31854424592","3522.74885285749","3526.54367510339","3577.59204137871","3641.70750463277","3714.13212604236","3780.06217282191","3822.94425358926","3884.87304812714","3951.41936232132","4054.78133246517","4222.96638689885","4199.72270969362","4241.51744722821","4302.6192630847","4300.26640352464","4286.57718166156","4286.58302947378","4307.85195558527","4382.11120797355","4473.57231896434","4588.4864949903","4698.66677843587","4767.13186148953","4797.97544185544","4851.48003949961","4882.35560028896","4763.48194388066","4793.55628200196","4843.65038202917","4870.57076514365"
"Congo, Dem. Rep.","COD","GDP per capita, PPP (constant 2021 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2172.00159744544","1923.96992285171","1664.75365186845","1389.95086948413","1273.99458750971","1230.74487636898","1194.95910249323","1109.85845653437","1062.56870694788","983.602225782557","886.720759311299","841.035651373731","839.766208262362","861.08157428731","892.435291107776","918.534842356332","938.04116408319","967.054152909544","996.744118078631","993.997785686778","1031.25015320943","1066.57951450382","1104.66400652934","1158.28192977491","1225.70218711959","1267.90548678227","1253.15815656727","1253.18734939772","1282.48227896626","1296.94757256244","1277.63286345756","1313.61821829086","1385.46472380959","1455.8356229714"
